name,slug,short_description,image_url,page_title,is_active
Adidas,adidas,Global sportswear and footwear giant,https://img.logo.dev/adidas.com?token=pk_b5C_ydQ-R_mLijujC0OvfA,Adidas Official Store,1
Adobe,adobe,Creative software and digital solutions,https://img.logo.dev/adobe.com?token=pk_b5C_ydQ-R_mLijujC0OvfA,Adobe Creative Cloud,1
Airbnb,airbnb,Vacation rentals and experiences,https://img.logo.dev/airbnb.com?token=pk_b5C_ydQ-R_mLijujC0OvfA,Airbnb Bookings,1
Amazon,amazon,E-commerce and cloud computing leader,https://img.logo.dev/amazon.com?token=pk_b5C_ydQ-R_mLijujC0OvfA,Amazon Shop,1
AMD,amd,High-performance computing and graphics,https://img.logo.dev/amd.com?token=pk_b5C_ydQ-R_mLijujC0OvfA,AMD Processors,1
American Express,american-express,Financial services and credit cards,https://img.logo.dev/americanexpress.com?token=pk_b5C_ydQ-R_mLijujC0OvfA,Amex Services,1
Apple,apple,Innovative consumer electronics,https://img.logo.dev/apple.com?token=pk_b5C_ydQ-R_mLijujC0OvfA,Apple Products,1
Asus,asus,Computer hardware and electronics,https://img.logo.dev/asus.com?token=pk_b5C_ydQ-R_mLijujC0OvfA,Asus Computers,1
Audi,audi,Luxury vehicles and automobiles,https://img.logo.dev/audi.com?token=pk_b5C_ydQ-R_mLijujC0OvfA,Audi Cars,1
Balenciaga,balenciaga,Luxury fashion house,https://img.logo.dev/balenciaga.com?token=pk_b5C_ydQ-R_mLijujC0OvfA,Balenciaga Fashion,1
Bentley,bentley,British luxury car manufacturer,https://img.logo.dev/bentleymotors.com?token=pk_b5C_ydQ-R_mLijujC0OvfA,Bentley Motors,1
BMW,bmw,German luxury vehicles and motorcycles,https://img.logo.dev/bmw.com?token=pk_b5C_ydQ-R_mLijujC0OvfA,BMW Driving Machines,1
Boeing,boeing,Aerospace and defense corporation,https://img.logo.dev/boeing.com?token=pk_b5C_ydQ-R_mLijujC0OvfA,Boeing Aerospace,1
