name,slug,parent_category,page_title,short_description,featured,is_sync_disabled,is_active
Electronics,electronics,,Electronics Store,All electronic products,1,0,1
Mobile Phones,mobile-phones,Electronics,Mobile Phones,Smartphones and accessories,1,0,1
Smartphones,smartphones,Mobile Phones,Smartphones,Latest smartphones,1,0,1
Feature Phones,feature-phones,Mobile Phones,Feature Phones,Basic mobile phones,0,0,1
Phone Accessories,phone-accessories,Mobile Phones,Phone Accessories,Cases chargers and more,0,0,1
Laptops,laptops,Electronics,Laptops Shop,All laptop computers,1,0,1
Gaming Laptops,gaming-laptops,Laptops,Gaming Laptops,High performance laptops,1,0,1
Business Laptops,business-laptops,Laptops,Business Laptops,Professional laptops,0,0,1
Laptop Accessories,laptop-accessories,Laptops,Laptop Accessories,Bags mice and keyboards,0,0,1
Televisions,televisions,Electronics,Televisions,Smart and LED TVs,1,0,1
Smart TVs,smart-tvs,Televisions,Smart TVs,Internet enabled TVs,1,0,1
LED TVs,led-tvs,Televisions,LED TVs,Energy efficient televisions,0,0,1
Audio,audio,Electronics,Audio Devices,Sound systems and speakers,1,0,1
Headphones,headphones,Audio,Headphones,Wireless and wired headphones,1,0,1
Speakers,speakers,Audio,Speakers,Portable speakers,0,0,1
Home Appliances,home-appliances,,Home Appliances,Household electronics,1,0,1
Refrigerators,refrigerators,Home Appliances,Refrigerators,Cooling appliances,1,0,1
Washing Machines,washing-machines,Home Appliances,Washing Machines,Laundry appliances,0,0,1
Microwaves,microwaves,Home Appliances,Microwaves,Kitchen heating appliances,0,0,1
Air Conditioners,air-conditioners,Home Appliances,Air Conditioners,Cooling systems,1,0,1
Fashion,fashion,,Fashion Store,Clothing and accessories,1,0,1
Men's Fashion,mens-fashion,Fashion,Men Fashion,Men clothing styles,1,0,1
Men Shirts,men-shirts,Men's Fashion,Men Shirts,Formal and casual shirts,0,0,1
Men Trousers,men-trousers,Men's Fashion,Men Trousers,Men trousers collection,0,0,1
Men Shoes,men-shoes,Men's Fashion,Men Shoes,Men footwear,1,0,1
Women's Fashion,womens-fashion,Fashion,Women Fashion,Women clothing styles,1,0,1
Dresses,dresses,Women's Fashion,Dresses,Women dresses,1,0,1
Women Shoes,women-shoes,Women's Fashion,Women Shoes,Women footwear,0,0,1
