name,email,phone,company_name,vat_number,address,city,state,postal_code,country,image_url,is_active
Alpha Utilities,contact@alphautilities.com,2.34801E+12,Alpha Utilities Ltd,VAT-001234,12 Marina Road,Lagos,Lagos,100001,Nigeria,https://example.com/images/alpha.png,1
Beta Power,info@betapower.ng,2.3481E+12,Beta Power Plc,VAT-005678,45 Ahmadu Bello Way,Abuja,FCT,900001,Nigeria,https://example.com/images/beta.png,1
Gamma Telecom,support@gammatelecom.com,2.34803E+12,Gamma Telecom Nigeria,VAT-009999,22 Ring Road,Ibadan,Oyo,200001,Nigeria,https://example.com/images/gamma.png,1
Delta Water Services,hello@deltawater.ng,2.34812E+12,Delta Water Services Ltd,VAT-002211,8 Okpanam Road,Asaba,Delta,320001,Nigeria,https://example.com/images/delta.png,1
Epsilon Internet,admin@epsiloninternet.com,2.34701E+12,Epsilon Internet Services,VAT-003333,17 Aminu Kano Crescent,Kano,Kano,700001,Nigeria,https://example.com/images/epsilon.png,1
Zeta Energy,contact@zetaenergy.ng,2.34802E+12,Zeta Energy Ltd,VAT-004001,10 Aba Road,Port Harcourt,Rivers,500001,Nigeria,https://example.com/images/zeta.png,1
Eta Gas,info@etagas.com,2.34803E+12,Eta Gas Nigeria,VAT-004002,5 Stadium Road,Benin City,Edo,300001,Nigeria,https://example.com/images/eta.png,1
Theta Cable,support@thetacable.ng,2.34804E+12,Theta Cable Network,VAT-004003,19 IBB Way,Uyo,Akwa Ibom,520001,Nigeria,https://example.com/images/theta.png,1
Iota Waste,hello@iotawaste.ng,2.34805E+12,Iota Waste Management,VAT-004004,3 Independence Layout,Enugu,Enugu,400001,Nigeria,https://example.com/images/iota.png,1
Kappa Solar,admin@kappasolar.com,2.34807E+12,Kappa Solar Solutions,VAT-004005,14 Yakubu Gowon Way,Jos,Plateau,930001,Nigeria,https://example.com/images/kappa.png,1
Lambda Transport,contact@lambdatransport.ng,2.34808E+12,Lambda Transport Ltd,VAT-004006,9 Emir Road,Ilorin,Kwara,240001,Nigeria,https://example.com/images/lambda.png,1
Mu Logistics,info@mulogistics.com,2.34809E+12,Mu Logistics Nigeria,VAT-004007,21 Warehouse Road,Onitsha,Anambra,430001,Nigeria,https://example.com/images/mu.png,1
Nu Broadband,support@nubroadband.ng,2.3481E+12,Nu Broadband Ltd,VAT-004008,16 Admiralty Way,Lekki,Lagos,105102,Nigeria,https://example.com/images/nu.png,1
Xi Finance,admin@xifinance.ng,2.3481E+12,Xi Finance Services,VAT-004009,7 Bank Road,Abeokuta,Ogun,110001,Nigeria,https://example.com/images/xi.png,1
Omicron Tech,hello@omicrontech.com,2.34811E+12,Omicron Technologies,VAT-004010,2 Innovation Hub,Yaba,Lagos,101245,Nigeria,https://example.com/images/omicron.png,1
Pi Security,contact@pisecurity.ng,2.34812E+12,Pi Security Ltd,VAT-004011,11 GRA Phase 2,Oworonshoki,Lagos,100213,Nigeria,https://example.com/images/pi.png,1
Rho Systems,info@rhosystems.ng,2.34813E+12,Rho Systems Nigeria,VAT-004012,5 Secretariat Road,Bauchi,Bauchi,740001,Nigeria,https://example.com/images/rho.png,1
Sigma Health,support@sigmahealth.ng,2.34815E+12,Sigma Health Services,VAT-004013,18 Hospital Road,Owerri,Imo,460001,Nigeria,https://example.com/images/sigma.png,1
Tau Pharmacy,admin@taupharmacy.com,2.34816E+12,Tau Pharmacy Ltd,VAT-004014,33 Medical Avenue,Calabar,Cross River,540001,Nigeria,https://example.com/images/tau.png,1
Upsilon Foods,contact@upsilonfoods.ng,2.34817E+12,Upsilon Foods Ltd,VAT-004015,44 Market Road,Akure,Ondo,340001,Nigeria,https://example.com/images/upsilon.png,1
Phi Agro,info@phiagro.ng,2.34818E+12,Phi Agro Industries,VAT-004016,12 Farm Estate,Makurdi,Benue,970001,Nigeria,https://example.com/images/phi.png,1
Chi Motors,support@chimotors.ng,2.34819E+12,Chi Motors Nigeria,VAT-004017,6 Auto Street,Nnewi,Anambra,435001,Nigeria,https://example.com/images/chi.png,1
Psi Electronics,hello@psielectronics.ng,2.34819E+12,Psi Electronics Ltd,VAT-004018,25 Electronics Market,Alaba,Lagos,102102,Nigeria,https://example.com/images/psi.png,1
Omega Stores,contact@omegastore.ng,2.3482E+12,Omega Stores Ltd,VAT-004019,8 Shopping Complex,Minna,Niger,920001,Nigeria,https://example.com/images/omega.png,1
